title_raw,title_norm,count,suggested_action,suggested_target,notes
COMPREHENSION DE CONSIGNES,COMPREHENSION DE CONSIGNES,4,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=4), analyser manuellement"
OFFICE CANTONAL DES ASSURANCES SOCIALES (OCAS),OFFICE CANTONAL DES ASSURANCES SOCIALES (OCAS),3,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=3), analyser manuellement"
ELEMENTS DE LA MESURE D’OUTPLACEMENT,ELEMENTS DE LA MESURE D’OUTPLACEMENT,3,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=3), analyser manuellement"
ENTRETIEN & TRAVAUX MANUELS,ENTRETIEN & TRAVAUX MANUELS,2,MAP_TO_SECTION,À déterminer,"Fréquence moyenne (count=2), évaluer au cas par cas"
RESPECTE LES HORAIRES,RESPECTE LES HORAIRES,2,MAP_TO_SECTION,À déterminer,"Fréquence moyenne (count=2), évaluer au cas par cas"
RESPECTE LES CONSIGNES AU TRAVAIL,RESPECTE LES CONSIGNES AU TRAVAIL,2,MAP_TO_SECTION,À déterminer,"Fréquence moyenne (count=2), évaluer au cas par cas"
LES TACHES EFFECTUEES SONT LES SUIVANTES,LES TACHES EFFECTUEES SONT LES SUIVANTES,2,MAP_TO_SECTION,À déterminer,"Fréquence moyenne (count=2), évaluer au cas par cas"
PREND DES INITIATIVES,PREND DES INITIATIVES,2,MAP_TO_SECTION,À déterminer,"Fréquence moyenne (count=2), évaluer au cas par cas"
RECONNAIT LES PRIORITES,RECONNAIT LES PRIORITES,2,MAP_TO_SECTION,À déterminer,"Fréquence moyenne (count=2), évaluer au cas par cas"
S’ADAPTE AUX NOUVELLES SITUATIONS,S’ADAPTE AUX NOUVELLES SITUATIONS,2,MAP_TO_SECTION,À déterminer,"Fréquence moyenne (count=2), évaluer au cas par cas"
A L’ATTENTION DE,A L’ATTENTION DE,1,IGNORE,,"One-shot, pas prioritaire"
LOGISTIQUE & TRANSPORT,LOGISTIQUE & TRANSPORT,1,IGNORE,,"One-shot, pas prioritaire"
TECHNIQUE & MECANIQUE,TECHNIQUE & MECANIQUE,1,IGNORE,,"One-shot, pas prioritaire"
SANTE & SOINS,SANTE & SOINS,1,IGNORE,,"One-shot, pas prioritaire"
POSITIONNEMENT DE NIVEAU - WORD,POSITIONNEMENT DE NIVEAU - WORD,1,IGNORE,,"One-shot, pas prioritaire"
POSITIONNEMENT DE NIVEAU - EXCEL,POSITIONNEMENT DE NIVEAU - EXCEL,1,IGNORE,,"One-shot, pas prioritaire"
"DURANT CE STAGE, IL A EU POUR ACTIVITES","DURANT CE STAGE, IL A EU POUR ACTIVITES",1,IGNORE,,"One-shot, pas prioritaire"
SES TACHES PRINCIPALES ONT ETE LES SUIVANTES,SES TACHES PRINCIPALES ONT ETE LES SUIVANTES,1,IGNORE,,"One-shot, pas prioritaire"
"LIEU ET DATE : COINTRIN, LE","LIEU ET DATE : COINTRIN, LE",1,IGNORE,,"One-shot, pas prioritaire"
ARTISANAT & ARTS PLASTIQUES,ARTISANAT & ARTS PLASTIQUES,1,IGNORE,,"One-shot, pas prioritaire"
ACTIVITES PRIVILEGIEES,ACTIVITES PRIVILEGIEES,1,IGNORE,,"One-shot, pas prioritaire"
FONCTIONS PRIVILEGIEES,FONCTIONS PRIVILEGIEES,1,IGNORE,,"One-shot, pas prioritaire"
- RETOUR DE TESTS VOCATIO,- RETOUR DE TESTS VOCATIO,1,IGNORE,,"One-shot, pas prioritaire"
- RETOUR EVOLUTION,- RETOUR EVOLUTION,1,IGNORE,,"One-shot, pas prioritaire"
STAGES LAI15 & LAI 17,STAGES LAI15 & LAI 17,1,IGNORE,,"One-shot, pas prioritaire"
"COMPREHESNION DES CONSIGNES, REPRESENTATION SPATIALE","COMPREHESNION DES CONSIGNES, REPRESENTATION SPATIALE",1,IGNORE,,"One-shot, pas prioritaire"
CORRESPONDANCE RIASEC,CORRESPONDANCE RIASEC,1,IGNORE,,"One-shot, pas prioritaire"
LE CAHIER DES CHARGES ETAIT LE SUIVANT,LE CAHIER DES CHARGES ETAIT LE SUIVANT,1,IGNORE,,"One-shot, pas prioritaire"
INCERTITUDES ET LIMITATIONS MEDICALES,INCERTITUDES ET LIMITATIONS MEDICALES,1,IGNORE,,"One-shot, pas prioritaire"
DERNIER STAGE ET SUIVI RH-PRO,DERNIER STAGE ET SUIVI RH-PRO,1,IGNORE,,"One-shot, pas prioritaire"
DEMONTAGE ET REMONTAGE DU MOUVEMENT MANUEL,DEMONTAGE ET REMONTAGE DU MOUVEMENT MANUEL,1,IGNORE,,"One-shot, pas prioritaire"
23 RUE DU PARC,23 RUE DU PARC,1,IGNORE,,"One-shot, pas prioritaire"
COLLABORATRICE POLYVALENTE,COLLABORATRICE POLYVALENTE,1,IGNORE,,"One-shot, pas prioritaire"
EVOLUTION / MANAGE-R / TWOB-R,EVOLUTION / MANAGE-R / TWOB-R,1,IGNORE,,"One-shot, pas prioritaire"
JOURNAL TASDELEN GAMZE,JOURNAL TASDELEN GAMZE,1,IGNORE,,"One-shot, pas prioritaire"
EST AUTONOMES DANS SON TRAVAIL,EST AUTONOMES DANS SON TRAVAIL,1,IGNORE,,"One-shot, pas prioritaire"
POSITIONNEMENT DE NIVEAU WORD,POSITIONNEMENT DE NIVEAU WORD,1,IGNORE,,"One-shot, pas prioritaire"
POSITIONNEMENT DE NIVEAU EXCEL,POSITIONNEMENT DE NIVEAU EXCEL,1,IGNORE,,"One-shot, pas prioritaire"
SAIT S’ORGANISER EN FONCTION DU TRAVAIL A REALISER,SAIT S’ORGANISER EN FONCTION DU TRAVAIL A REALISER,1,IGNORE,,"One-shot, pas prioritaire"
EST AUTONOME DANS SON TRAVAIL,EST AUTONOME DANS SON TRAVAIL,1,IGNORE,,"One-shot, pas prioritaire"
"FRANCAIS, LOGIQUE, REPRESENTATION SPATIALE ET COMPREHENSION DES CONSIGNES","FRANCAIS, LOGIQUE, REPRESENTATION SPATIALE ET COMPREHENSION DES CONSIGNES",1,IGNORE,,"One-shot, pas prioritaire"
STAGE EN TANT QUE POLISSEUR 1,STAGE EN TANT QUE POLISSEUR 1,1,IGNORE,,"One-shot, pas prioritaire"
STAGE EN TANT QUE POLISSEUR 2,STAGE EN TANT QUE POLISSEUR 2,1,IGNORE,,"One-shot, pas prioritaire"
PARLEZ-MOI DE VOUS,PARLEZ-MOI DE VOUS,1,IGNORE,,"One-shot, pas prioritaire"
J'AI EFFECTUE TOUTE MA SCOLARITE EN FRANCE,J'AI EFFECTUE TOUTE MA SCOLARITE EN FRANCE,1,IGNORE,,"One-shot, pas prioritaire"
SES ACTIVITES SONT LES SUIVANTES,SES ACTIVITES SONT LES SUIVANTES,1,IGNORE,,"One-shot, pas prioritaire"
