title_raw,title_norm,count,suggested_action,suggested_target,notes
PARTICIPATION AU PROGRAMME,PARTICIPATION AU PROGRAMME,16,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=16), analyser manuellement"
SAIT S’ORGANISER EN FONCTION DU TRAVAIL A REALISER,SAIT S’ORGANISER EN FONCTION DU TRAVAIL A REALISER,8,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=8), analyser manuellement"
ELEMENTS DE LA MESURE D’OUTPLACEMENT,ELEMENTS DE LA MESURE D’OUTPLACEMENT,8,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=8), analyser manuellement"
FRANCAIS - POSITIONNEMENT DE NIVEAU,FRANCAIS - POSITIONNEMENT DE NIVEAU,8,MAP_TO_TESTS,tests,Keywords tests détectés (count=8)
OFFICE CANTONAL DES ASSURANCES SOCIALES (OCAS),OFFICE CANTONAL DES ASSURANCES SOCIALES (OCAS),7,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=7), analyser manuellement"
PREND DES INITIATIVES,PREND DES INITIATIVES,6,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=6), analyser manuellement"
CALCUL NIVEAU 2,CALCUL NIVEAU 2,6,MAP_TO_TESTS,tests,Keywords tests détectés (count=6)
CALCUL NIVEAU 3,CALCUL NIVEAU 3,6,MAP_TO_TESTS,tests,Keywords tests détectés (count=6)
EST AUTONOMES DANS SON TRAVAIL,EST AUTONOMES DANS SON TRAVAIL,5,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=5), analyser manuellement"
TRI ET CLASSEMENT,TRI ET CLASSEMENT,5,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=5), analyser manuellement"
TEST ADMINISTRATIF BUREAUTIQUE,TEST ADMINISTRATIF BUREAUTIQUE,5,MAP_TO_TESTS,tests,Keywords tests détectés (count=5)
ETES-VOUS EN MESURE D’OFFRIR UN EMPLOI AU STAGIAIRE,ETES-VOUS EN MESURE D’OFFRIR UN EMPLOI AU STAGIAIRE,4,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=4), analyser manuellement"
A L’ATTENTION DE,A L’ATTENTION DE,4,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=4), analyser manuellement"
S’ADAPTE AUX NOUVELLES SITUATIONS,S’ADAPTE AUX NOUVELLES SITUATIONS,4,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=4), analyser manuellement"
ANGLAIS - POSITIONNEMENT DE NIVEAU,ANGLAIS - POSITIONNEMENT DE NIVEAU,4,MAP_TO_TESTS,tests,Keywords tests détectés (count=4)
"DIMENSIONS, VOLUMES ET MESURES","DIMENSIONS, VOLUMES ET MESURES",4,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=4), analyser manuellement"
SAISIE DE COMMANDES,SAISIE DE COMMANDES,4,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=4), analyser manuellement"
RESPECTE LES HORAIRES,RESPECTE LES HORAIRES,4,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=4), analyser manuellement"
ALLEMAND - POSITIONNEMENT DE NIVEAU,ALLEMAND - POSITIONNEMENT DE NIVEAU,3,MAP_TO_TESTS,tests,Keywords tests détectés (count=3)
CALCUL NIVEAU 1,CALCUL NIVEAU 1,3,MAP_TO_TESTS,tests,Keywords tests détectés (count=3)
COMPREHENSION DE CONSIGNES,COMPREHENSION DE CONSIGNES,3,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=3), analyser manuellement"
RESPECTE LES CONSIGNES AU TRAVAIL,RESPECTE LES CONSIGNES AU TRAVAIL,3,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=3), analyser manuellement"
LES TACHES EFFECTUEES SONT LES SUIVANTES,LES TACHES EFFECTUEES SONT LES SUIVANTES,2,MAP_TO_SECTION,À déterminer,"Fréquence moyenne (count=2), évaluer au cas par cas"
RECONNAIT LES PRIORITES,RECONNAIT LES PRIORITES,2,MAP_TO_SECTION,À déterminer,"Fréquence moyenne (count=2), évaluer au cas par cas"
ENTRETIEN & TRAVAUX MANUELS,ENTRETIEN & TRAVAUX MANUELS,1,IGNORE,,"One-shot, pas prioritaire"
ARTISANAT & ARTS PLASTIQUES,ARTISANAT & ARTS PLASTIQUES,1,IGNORE,,"One-shot, pas prioritaire"
ACTIVITES PRIVILEGIEES,ACTIVITES PRIVILEGIEES,1,IGNORE,,"One-shot, pas prioritaire"
FONCTIONS PRIVILEGIEES,FONCTIONS PRIVILEGIEES,1,IGNORE,,"One-shot, pas prioritaire"
- RETOUR DE TESTS VOCATIO,- RETOUR DE TESTS VOCATIO,1,IGNORE,,"One-shot, pas prioritaire"
- RETOUR EVOLUTION,- RETOUR EVOLUTION,1,IGNORE,,"One-shot, pas prioritaire"
STAGES LAI15 & LAI 17,STAGES LAI15 & LAI 17,1,IGNORE,,"One-shot, pas prioritaire"
"COMPREHESNION DES CONSIGNES, REPRESENTATION SPATIALE","COMPREHESNION DES CONSIGNES, REPRESENTATION SPATIALE",1,IGNORE,,"One-shot, pas prioritaire"
CORRESPONDANCE RIASEC,CORRESPONDANCE RIASEC,1,IGNORE,,"One-shot, pas prioritaire"
LE CAHIER DES CHARGES ETAIT LE SUIVANT,LE CAHIER DES CHARGES ETAIT LE SUIVANT,1,IGNORE,,"One-shot, pas prioritaire"
INCERTITUDES ET LIMITATIONS MEDICALES,INCERTITUDES ET LIMITATIONS MEDICALES,1,IGNORE,,"One-shot, pas prioritaire"
DERNIER STAGE ET SUIVI RH-PRO,DERNIER STAGE ET SUIVI RH-PRO,1,IGNORE,,"One-shot, pas prioritaire"
DEMONTAGE ET REMONTAGE DU MOUVEMENT MANUEL,DEMONTAGE ET REMONTAGE DU MOUVEMENT MANUEL,1,IGNORE,,"One-shot, pas prioritaire"
23 RUE DU PARC,23 RUE DU PARC,1,IGNORE,,"One-shot, pas prioritaire"
EVOLUTION / MANAGE-R / TWOB-R,EVOLUTION / MANAGE-R / TWOB-R,1,IGNORE,,"One-shot, pas prioritaire"
"LIEU ET DATE : GENEVE, LE","LIEU ET DATE : GENEVE, LE",1,IGNORE,,"One-shot, pas prioritaire"
JOURNAL TASDELEN GAMZE,JOURNAL TASDELEN GAMZE,1,IGNORE,,"One-shot, pas prioritaire"
POSITIONNEMENT DE NIVEAU WORD,POSITIONNEMENT DE NIVEAU WORD,1,IGNORE,,"One-shot, pas prioritaire"
POSITIONNEMENT DE NIVEAU EXCEL,POSITIONNEMENT DE NIVEAU EXCEL,1,IGNORE,,"One-shot, pas prioritaire"
EST AUTONOME DANS SON TRAVAIL,EST AUTONOME DANS SON TRAVAIL,1,IGNORE,,"One-shot, pas prioritaire"
"FRANCAIS, LOGIQUE, REPRESENTATION SPATIALE ET COMPREHENSION DES CONSIGNES","FRANCAIS, LOGIQUE, REPRESENTATION SPATIALE ET COMPREHENSION DES CONSIGNES",1,IGNORE,,"One-shot, pas prioritaire"
STAGE EN TANT QUE POLISSEUR 1,STAGE EN TANT QUE POLISSEUR 1,1,IGNORE,,"One-shot, pas prioritaire"
STAGE EN TANT QUE POLISSEUR 2,STAGE EN TANT QUE POLISSEUR 2,1,IGNORE,,"One-shot, pas prioritaire"
SES ACTIVITES SONT LES SUIVANTES,SES ACTIVITES SONT LES SUIVANTES,1,IGNORE,,"One-shot, pas prioritaire"
LES TACHES QU’IL ACCOMPLIT A LA CAFETERIA COMPRENNENT,LES TACHES QU’IL ACCOMPLIT A LA CAFETERIA COMPRENNENT,1,IGNORE,,"One-shot, pas prioritaire"
